,Make,Model,Variant,Displacement,Cylinders,Fuel_Tank_Capacity,Mileage,Power,Kerb_Weight,Comfort,Safety,Price
705,Toyota,Innova Crysta,2.7 Vx 7 Str,2393.0,4,55.0,11.25,147.9,1815.0,88.15468727368648,24.0,1807000
706,Toyota,Innova Crysta,2.7 Gx Mt 7 Str,2755.0,4,55.0,11.25,171.564,1825.0,42.15468727368649,25.0,1493000
707,Toyota,Innova Crysta,2.7 Gx Mt 8 Str,2755.0,4,55.0,11.25,171.564,1825.0,36.52968727368649,25.0,1498000
708,Toyota,Innova Crysta,Touring Sport 2.4 Vx 7 Str,2393.0,4,55.0,15.0,147.9,1828.0,88.15468727368648,24.0,2097000
709,Toyota,Innova Crysta,Touring Sport 2.7 Vx 7 Str,2393.0,4,55.0,11.25,163.676,1815.0,88.15468727368648,27.0,1892000
710,Toyota,Innova Crysta,Touring Sport 2.7 Zx At 7 Str,2694.0,4,55.0,10.75,163.676,1870.0,108.15468727368649,27.0,2171000
711,Toyota,Innova Crysta,2.4 G Plus 7 Str,2393.0,4,55.0,15.4,147.9,1805.0,42.15468727368649,27.0,1592000
712,Toyota,Innova Crysta,2.4 G Plus 8 Str,2393.0,4,55.0,15.1,147.9,1825.0,42.52968727368649,25.0,1587000
713,Jeep,Compass,1.4 Limited At,1368.0,6,60.0,16.3,159.732,1562.0,112.33809470298709,29.0,1996000
714,Jeep,Compass,1.4 Sport,1368.0,6,60.0,16.3,159.732,1537.0,94.33809470298709,29.0,1560000
715,Jeep,Compass,1.4 Limited (O) At,1368.0,6,60.0,14.1,159.732,1562.0,112.33809470298709,29.0,2055000
716,Jeep,Compass,2.0 Sport,1956.0,6,60.0,17.1,170.578,1537.0,91.33809470298709,29.0,1661000
717,Jeep,Compass,2.0 Longitude,1956.0,6,60.0,17.1,170.578,1551.0,107.33809470298709,29.0,1803000
718,Jeep,Compass,2.0 Longitude (O),1956.0,6,60.0,17.1,170.578,1551.0,107.33809470298709,29.0,1888000
719,Jeep,Compass,2.0 Limited,1956.0,6,60.0,17.1,170.578,1562.0,87.33809470298709,29.0,1973000
720,Jeep,Compass,2.0 Limited (O),1956.0,6,60.0,17.1,170.578,1562.0,107.33809470298709,29.0,2022000
721,Jeep,Compass,2.0 Limited 4X4,1956.0,6,60.0,16.3,170.578,1641.0,107.33809470298709,29.0,2151000
722,Jeep,Compass,2.0 Limited (O) 4X4,1956.0,6,60.0,16.3,170.578,1641.0,107.33809470298709,29.0,2199000
723,Jeep,Compass,1.4 Limited Plus At Petrol,1368.0,6,60.0,16.3,159.732,1562.0,112.33809470298709,29.0,2167000
724,Jeep,Compass,2.0 Limited Plus 4X2 Diesel,1956.0,6,60.0,17.1,170.578,1562.0,111.33809470298709,29.0,2133000
725,Jeep,Compass,2.0 Limited Plus 4X4 Diesel,1956.0,6,60.0,16.3,170.578,1641.0,107.33809470298709,29.0,2311000
726,Jeep,Compass,2.0 Sport Plus,1956.0,6,60.0,17.1,170.578,1537.0,109.33809470298709,25.0,1699000
727,Jeep,Compass,1.4 Sport Plus,1368.0,6,60.0,16.3,159.732,1537.0,112.33809470298709,29.0,1599000
728,Jeep,Compass,1.4 Longitude (O) At,1368.0,6,60.0,14.1,160.718,1562.0,112.33809470298709,29.0,1900000
729,Jeep,Compass,1.4 Limited (O) At Petrol Black Pack,1368.0,6,60.0,16.3,159.732,1562.0,112.33809470298709,29.0,2070000
730,Jeep,Compass,2.0 Limited (O) Black Pack,1956.0,6,60.0,17.1,170.578,1562.0,107.33809470298709,29.0,2036300
731,Jeep,Compass,2.0 Limited (O) 4X4 Black Pack,1956.0,6,60.0,16.3,170.578,1641.0,107.33809470298709,29.0,2214000
732,Jeep,Compass,2.0 Limited Plus 4X4 At,1956.0,6,60.0,17.1,170.578,1562.0,111.33809470298709,29.0,2499000
733,Jeep,Compass,2.0 Longitude 4X4 At,1956.0,6,60.0,17.1,170.578,1551.0,107.33809470298709,29.0,2196000
734,Toyota,Corolla Altis,G Petrol,1798.0,4,55.0,16.7,138.04,1220.0,85.56262954554605,27.0,1645000
735,Toyota,Corolla Altis,G At Petrol,1798.0,4,55.0,16.7,138.04,1260.0,85.56262954554605,27.0,1806000
736,Toyota,Corolla Altis,Gl Petrol,1798.0,4,55.0,16.7,138.04,1280.0,103.56262954554603,27.0,1882000
737,Toyota,Corolla Altis,Gl Diesel,1364.0,4,43.0,21.0,87.1624,1270.0,97.56262954554603,27.0,1936000
738,Toyota,Corolla Altis,G Diesel,1364.0,4,43.0,21.0,87.1624,1230.0,85.56262954554605,27.0,1771000
739,Toyota,Corolla Altis,Vl At Petrol,1798.0,4,55.0,16.7,138.04,1310.0,103.56262954554603,27.0,2019000
740,Honda,Civic,1.8 V Cvt,1799.0,4,47.0,16.5,139.026,1268.0,85.4765304430421,29.0,1793900
741,Honda,Civic,1.8 Vx Cvt,1799.0,4,47.0,16.5,139.026,1275.0,118.4765304430421,29.0,1944900
742,Honda,Civic,1.8 Zx Cvt,1799.0,4,47.0,16.8,139.026,1300.0,118.4765304430421,29.0,2124900
743,Honda,Civic,1.6 Vx Mt,1597.0,4,47.0,26.8,118.32,1325.0,99.4765304430421,27.0,2054900
744,Honda,Civic,1.6 Zx Mt,1597.0,4,47.0,26.8,118.32,1353.0,119.4765304430421,29.0,2234900
745,Mg,Zs Ev,Excite,1841.323668,4,49.30086207,19.90211704,140.76,990.467868338558,87.4804832954418,29.0,2088000
746,Mg,Zs Ev,Exclusive,1841.323668,4,49.30086207,19.90211704,140.76,990.467868338558,96.4804832954418,29.0,2358000
747,Kia,Carnival,Premium 7 Str,2199.0,4,49.30086207,19.90211704,197.2,990.467868338558,117.78131360439563,29.0,2495000
748,Kia,Carnival,Premium 8 Str,2199.0,4,49.30086207,19.90211704,197.2,990.467868338558,117.78131360439563,29.0,2515000
749,Kia,Carnival,Prestige 7 Str,2199.0,4,49.30086207,19.90211704,197.2,990.467868338558,129.78131360439565,29.0,2895000
750,Kia,Carnival,Prestige 9 (6+3) Str,2199.0,4,49.30086207,19.90211704,197.2,990.467868338558,137.78131360439565,29.0,2995000
751,Kia,Carnival,Limousine 7 Str,2199.0,4,49.30086207,19.90211704,197.2,990.467868338558,141.78131360439565,29.0,3395000
752,Skoda,Superb,Style 1.8 Tsi Mt,1798.0,4,66.0,14.12,177.48,1449.0,127.12224454290138,27.0,2599599
753,Skoda,Superb,Style 1.8 Tsi At,1798.0,4,66.0,14.67,177.48,1540.0,127.12224454290138,27.0,2779599
754,Skoda,Superb,L & K 1.8 Tsi At,1798.0,4,66.0,13.7,177.48,1540.0,131.1222445429014,29.0,3099599
755,Skoda,Superb,L & K 2.0 Tdi At,1968.0,4,66.0,18.19,174.522,1565.0,127.12224454290138,29.0,3349599
756,Skoda,Superb,Style 2.0 Tdi At,1968.0,4,66.0,18.19,174.522,1565.0,127.12224454290138,29.0,3029599
757,Skoda,Superb,Corporate Edition 1.8 Tsi At,1798.0,4,66.0,14.67,177.48,1540.0,127.12224454290138,27.0,2599599
758,Skoda,Superb,Corporate Edition 2.0 Tdi At,1968.0,4,66.0,18.19,174.522,1565.0,127.12224454290138,29.0,2849599
759,Volvo,V40,Kinetic,1984.0,5,60.0,16.81,147.9,1500.0,108.34588448562502,24.0,2769000
760,Volvo,V40,R Design,1984.0,5,60.0,16.81,147.9,1500.0,130.34588448562502,27.0,3191000
761,Toyota,Fortuner,2.8 4X2 At,2755.0,4,80.0,12.9,174.522,1970.0,96.91919607286046,25.0,3205000
762,Toyota,Fortuner,2.8 4X2 Mt,2755.0,4,80.0,14.24,174.522,1970.0,104.91919607286046,21.0,3019000
763,Toyota,Fortuner,2.8 4X4 Mt,2755.0,4,80.0,14.24,174.522,990.467868338558,97.18699807087296,25.0,3216000
764,Toyota,Fortuner,2.8 4X4 At,2755.0,4,80.0,12.9,174.522,990.467868338558,97.18699807087296,25.0,3395000
765,Toyota,Fortuner,2.7 4X2 At,2694.0,4,80.0,10.26,163.676,990.467868338558,97.18699807087296,25.0,2977000
766,Toyota,Fortuner,2.7 4X2 Mt,2694.0,4,80.0,10.01,163.676,990.467868338558,105.18699807087296,21.0,2818000
767,Toyota,Fortuner,Trd Celebratory Edition,2755.0,4,80.0,12.9,174.522,1970.0,104.91919607286046,27.0,3420000
768,Ford,Endeavour,3.2L 4X4 At Titanium Plus,3198.0,5,80.0,10.91,197.2,2394.0,125.32996850182212,27.0,3470000
769,Ford,Endeavour,2.2L 4X2 At Titanium Plus,2198.0,4,80.0,12.62,157.76,2238.0,121.32996850182212,27.0,3233000
770,Ford,Endeavour,2.2L 4X2 Mt Titanium,2198.0,4,80.0,12.62,157.76,2238.0,121.32996850182212,27.0,2920000
771,Mini,Cooper 3 Door,Cooper D,1496.0,3,44.0,21.15,114.376,1245.0,95.27796962064137,23.0,2990000
772,Mini,Cooper 3 Door,Cooper S,1998.0,4,44.0,15.75,189.312,1250.0,95.65772996207275,29.0,3420000
773,Skoda,Kodiaq Scout,2.0 Tdi At,1968.0,4,63.0,16.25,148.0,1799.0,127.85354646970396,26.0,3399000
774,Bmw,X1,Sdrive20D Expedition,1995.0,4,51.0,20.68,190.0,990.467868338558,114.64701834632157,29.0,3520000
775,Bmw,X1,Sdrive20D Xline,1995.0,4,51.0,20.68,187.34,990.467868338558,117.64522140112841,29.0,3930000
776,Bmw,X1,Xdrive20D M Sport,1995.0,4,51.0,20.68,187.34,990.467868338558,118.64522140112841,29.0,4570000
777,Bmw,X1,Sdrive20D M Sport,1995.0,4,61.0,17.05,187.0,1670.0,100.64861979404593,29.0,4240000
778,Bmw,X1,Sdrive20I Xline,1998.0,4,51.0,16.3,192.0,990.467868338558,117.43228339573757,29.0,3830000
779,Volvo,S60,Polestar,1969.0,4,67.0,19.90211704,366.792,1661.0,121.5988633402981,23.0,5602000
780,Volvo,S60,Momentum,1984.0,5,67.5,21.7,181.0,1665.0,119.3904176978902,27.0,3850500
781,Bmw,3-Series,320D Sport,1995.0,4,40.0,19.62,187.34,1590.0,101.62550146372831,29.0,4140000
782,Bmw,3-Series,320D Luxury Line,1995.0,4,40.0,19.62,187.34,1590.0,101.62550146372831,29.0,4690000
783,Bmw,3-Series,330I M Sport,1998.0,4,59.0,16.13,254.388,1595.0,101.62550146372831,29.0,4790000
784,Volvo,S60 Cross Country,D4,2400.0,5,67.0,19.6,187.34,1776.0,130.22419163970716,29.0,4426500
785,Audi,Q5,35 Tdi Premium Plus,1968.0,4,64.0,16.9,187.34,1585.0,126.54646832095747,27.0,5021200
786,Audi,Q5,35 Tdi Technology,1968.0,4,64.0,15.73,187.34,1585.0,126.54646832095747,27.0,5621200
787,Audi,Q5,45 Tfsi Premium Plus,1984.0,6,70.0,12.44,248.0,1955.0,118.90734378059115,29.0,5021200
788,Audi,Q5,45 Tfsi Technology,1984.0,6,70.0,12.44,248.0,1955.0,118.90734378059115,29.0,5621200
789,Land Rover Rover,Range Evoque,S,1999.0,4,49.30086207,15.6,176.494,1915.0,124.49408323227061,29.0,5494000
790,Land Rover Rover,Range Evoque,Se R-Dynamic,1999.0,4,49.30086207,15.6,176.494,1915.0,124.49408323227061,29.0,5985000
791,Land Rover Rover,Range Evoque,S Petrol,1997.0,4,49.30086207,19.90211704,241.57,1929.0,124.49408323227061,29.0,5494000
792,Land Rover Rover,Range Evoque,Se R-Dynamic Petrol,1997.0,4,49.30086207,19.90211704,241.57,1929.0,124.49408323227061,29.0,5985000
793,Maruti Suzuki,Mercedes-Benz E-Class,E200,1991.0,4,80.0,12.0,190.0,990.467868338558,142.91046874518685,29.0,5861062
794,Maruti Suzuki,Mercedes-Benz E-Class,E350 D,2987.0,6,80.0,142.0,264.938,990.467868338558,146.91046874518685,27.0,7285332
795,Maruti Suzuki,Mercedes-Benz E-Class,E220D,2987.0,6,80.0,142.0,264.938,990.467868338558,146.91046874518685,27.0,5964321
796,Maruti Suzuki,Mercedes-Benz E-Class,E 63 S Amg,5461.0,8,80.0,8.5,549.0,1845.0,111.4998743639737,27.0,15000000
797,Maruti Suzuki,Mercedes-Benz E-Class,E200 Expression,1991.0,4,80.0,12.0,181.424,990.467868338558,142.91046874518685,29.0,5750000
798,Maruti Suzuki,Mercedes-Benz E-Class,E200 Exclusive,1991.0,4,80.0,12.0,181.424,990.467868338558,142.91046874518685,29.0,6150000
799,Maruti Suzuki,Mercedes-Benz E-Class,E220D Expression,2987.0,6,80.0,142.0,264.938,990.467868338558,146.91046874518685,27.0,5850000
800,Maruti Suzuki,Mercedes-Benz E-Class,E220D Exclusive,2987.0,6,80.0,142.0,264.938,990.467868338558,146.91046874518685,27.0,6250000
801,Volvo,Xc60,Inscription D5,1969.0,5,70.0,18.8,229.738,1879.0,122.75888014158622,27.0,5990000
802,Bmw,X4,Xdrive20D M Sport X,1995.0,4,60.0,16.4,188.0,1740.0,98.35332403265993,27.0,6060000
803,Bmw,X4,Xdrive30D M Sport X,2993.0,6,68.0,16.4,261.29,1820.0,92.35332403265994,27.0,6590000
804,Bmw,X4,Xdrive30I M Sport X,1998.0,6,68.0,13.32,248.0,1820.0,86.35332403265994,27.0,6350000
805,Jeep,Wrangler,Unlimited,1999.0,4,85.0,8.4,264.248,990.467868338558,97.471045492292,23.0,6394000
806,Maruti Suzuki,Mercedes-Benz C-Class Cabriolet,C300,1991.0,4,60.0,19.90211704,258.0,990.467868338558,121.00367448623278,29.0,6426497
807,Bmw,Z4 Roadster,Sdrive 20I,1998.0,4,52.0,7.6,197.0,1495.0,115.07613399303018,29.0,6490000
808,Bmw,Z4 Roadster,M 40I,2998.0,6,52.0,7.6,340.0,1610.0,110.5684969759592,29.0,7890000
809,Maruti Suzuki,Mercedes-Benz V-Class,Expression Elwb,2143.0,4,93.0,19.90211704,163.0,990.467868338558,118.34697265052878,29.0,6840000
810,Maruti Suzuki,Mercedes-Benz V-Class,Exclusive Lwb,2143.0,4,93.0,19.90211704,163.0,990.467868338558,117.93421821848676,29.0,8190000
811,Maruti Suzuki,Mercedes-Benz V-Class,Elite,1950.0,4,70.0,19.90211704,160.718,990.467868338558,126.93421821848678,26.0,11000000
812,Audi,Q7,45 Tdi Premium Plus,2967.0,6,75.0,14.75,245.514,2330.0,151.06007065448438,29.0,7221500
813,Audi,Q7,45 Tdi Technology Pack,2967.0,6,75.0,14.75,245.514,2330.0,151.06007065448438,29.0,8021500
814,Audi,Q7,40 Tfsi Quattro Premium Plus,1984.0,6,75.0,11.68,248.472,2330.0,157.06007065448438,29.0,6921500
815,Audi,Q7,40 Tfsi Quattro Technology Pack,1984.0,6,75.0,19.90211704,248.472,2330.0,157.06007065448438,29.0,7621500
816,Audi,Q7,45 Tdi Black Styling,2967.0,6,75.0,14.75,245.514,2330.0,151.06007065448438,29.0,8111500
817,Audi,Q7,40 Tfsi Quattro Black Styling,1984.0,6,75.0,19.90211704,248.472,2330.0,157.06007065448438,29.0,7711500
