,Make,Model,Variant,Price,Engine_Size_in_cc,Fuel_Type,Fuel_Tank_Capacity,Mileage,Power,Comfort,Safety
88,Toyota,Etios Liva,V,581000,1197.0,Petrol,45.0,18.16,78.88,21.692844607758875,26.0
89,Toyota,Etios Liva,Gd,647800,1364.0,Diesel,45.0,23.59,67.048,20.692844607758875,25.0
90,Toyota,Etios Liva,Vx,630000,1197.0,Petrol,45.0,18.16,78.88,35.69284460775887,26.0
91,Toyota,Etios Liva,Vxd,745000,1364.0,Diesel,45.0,23.59,67.048,39.69284460775887,26.0
92,Toyota,Etios Liva,Vd,704000,1364.0,Diesel,45.0,23.59,67.048,31.692844607758875,26.0
93,Toyota,Etios Liva,Dual Tone V,597700,1197.0,Petrol,45.0,18.16,78.88,21.692844607758875,26.0
94,Toyota,Etios Liva,Dual Tone Vd,720700,1364.0,Diesel,45.0,23.59,67.048,31.692844607758875,26.0
95,Toyota,Etios Liva,Dual Tone Vx,641700,1197.0,Petrol,45.0,18.16,78.88,35.69284460775887,26.0
96,Toyota,Etios Liva,Dual Tone Vxd,756700,1364.0,Diesel,45.0,23.59,67.048,39.69284460775887,26.0
97,Toyota,Etios Liva,Gx,558400,1197.0,Petrol,45.0,18.16,78.88,20.692844607758875,26.0
98,Toyota,Etios Liva,Gxd,686000,1364.0,Diesel,45.0,23.59,67.048,20.692844607758875,26.0
99,Toyota,Etios Liva,Vx Dual Tone Limited Edition,662700,1197.0,Petrol,45.0,18.16,78.88,38.69284460775887,26.0
100,Toyota,Etios Liva,Vxd Dual Tone Limited Edition,777700,1364.0,Diesel,45.0,23.59,67.048,42.69284460775887,26.0
101,Nissan,Micra Active,Xl,525021,1198.0,Petrol,41.0,18.97,67.048,25.165743093334054,21.5
102,Nissan,Micra Active,Xv,599950,1198.0,Petrol,41.0,19.49,67.048,36.66574309333406,27.0
103,Nissan,Micra Active,Xl (O),563133,1198.0,Petrol,41.0,18.97,67.048,36.66574309333406,21.5
104,Tata,Bolt,Xt Diesel,787980,1248.0,Diesel,44.0,22.95,73.95,34.6249542101717,27.0
105,Tata,Bolt,Xe Diesel,661111,1248.0,Diesel,44.0,22.95,73.95,17.624954210171698,17.0
106,Tata,Bolt,Xm Diesel,693798,1248.0,Diesel,44.0,22.95,73.95,33.1249542101717,22.0
107,Tata,Bolt,Xms Diesel,719661,1248.0,Diesel,44.0,22.95,73.95,31.6249542101717,27.0
108,Tata,Bolt,Xt Petrol,674960,1193.0,Petrol,44.0,17.57,88.74,35.6249542101717,27.0
109,Tata,Bolt,Xe Petrol,529035,1193.0,Petrol,44.0,17.57,88.74,17.624954210171698,18.0
